"","GeneSymbol","A_plus_1","A_plus_2","A_plus_3","A_minus_1","A_minus_2","A_minus_3","B_plus_1","B_plus_2","B_plus_3","B_minus_1","B_minus_2","B_minus_3","A_plus_1_48","A_plus_2_48","A_plus_3_48","A_minus_1_48","A_minus_2_48","A_minus_3_48"
"1","STIP1",6.63078015478362,6.86922749193064,4.05190332851453,7.46486296521631,5.70957936315594,4.05190332851453,7.48935024842913,8.29323047731403,4.05190332851453,2.92652870470058,3.88677544201412,4.05190332851453,4.93465699699663,3.2986752379506,9.28286510554402,3.75156930476526,5.34104400403868,7.91846885755334
"2","LCP1",7.15860658075545,9.04680924100504,4.41540579612901,1.60732438618785,2.66179347509272,4.41540579612901,9.5138153219866,8.9932252648178,4.41540579612901,5.29849979061666,5.2070790687653,4.41540579612901,6.54099258681454,5.56321533184442,11.4037227038265,3.14969583522284,1.73286749516311,4.41540579612901
"3","PACSIN2",6.63850727459159,9.03931914670133,2.14374076847002,2.27697571590482,3.77637250900178,8.94847313313451,6.69720684642045,6.40161363483509,5.13730779577713,6.74123849673767,4.32430018150367,10.5055809599653,2.96564299661047,3.41484916816361,2.14374076847002,6.75244858123895,5.27260414590135,7.05010863519902
"4","CSE1L",6.2531205162443,7.51859685148239,4.04059321561485,2.22434671230462,5.56801586695502,4.74826782097352,6.98110038660703,5.269383027277,4.04059321561485,6.7387202010522,6.03519773054914,4.04059321561485,6.59193104047893,5.83510831794966,7.9835327726629,4.61149097497917,3.18522876717625,8.33800950723034
"5","SIN3A",7.40325,9.04676,0,9.51723,11.1359,0,6.55568,8.3774,0,9.53028,10.0558,0,8.4518,7.39605,0,6.9445,5.58533,0
"6","DHX9",3.77830884419889,3.31162385655149,3.15103350714604,7.91673180604721,7.58339178494547,5.86780949691207,3.59733326489614,4.4041486245439,4.70805977527514,6.82975611704775,6.80326673026101,3.98883957764272,5.41973265978484,5.76961538581071,8.32907905637533,5.38212604912085,5.14204974337236,8.01941825666013
"7","PRPF6",4.62747699379952,4.3515727752373,3.87599978100395,6.30930776630242,7.71554426188409,3.87599978100395,3.48951309924701,3.83980535326692,6.51591061808087,7.46240894430207,6.7311364136671,6.91328279584293,5.57434302450644,5.84970534535645,6.49639407573552,6.08342723748675,5.19239462069137,5.22236747036788
"8","SRM",7.91189,6.84526,0,13.8749,9.74455,0,7.5582,8.86252,0,12.3437,10.3867,0,5.4259,8.71441,0,8.32601,0.00599584,0
"9","ARID1A",5.06753043120598,4.44212597148757,4.7064934254776,8.31790780271966,8.19884694263095,6.413952081775,3.79005173201133,4.56833480794686,4.7064934254776,5.34382352041338,5.59681177060273,4.7064934254776,6.31016792623622,7.07374133956093,6.84099282666526,5.55558260522616,4.74755953235861,4.7064934254776
"10","RUVBL2",6.83992402773484,6.98972684215431,4.53563833733175,5.12448693367008,6.31009009593804,4.53563833733175,6.58395482636246,6.37995383028027,4.53563833733175,6.15245091175507,6.47497769608765,5.97683911993951,4.94147242744986,4.66161081020775,8.24063872718078,4.12390434062022,3.14953910859514,4.53563833733175
"11","SMU1",6.35587530711538,6.96165872124976,5.22216344516549,5.81767289905381,4.15054145740462,20.1525756530213,10.091203453616,10.6676300758471,3.01578765319138,2.95292662625956,4.81669674569694,3.01578765319138,7.85190603751185,-0.458904821087596,3.01578765319138,-1.56548405706197,5.34091306406553,3.01578765319138
"12","TAF15",4.15290010444661,4.15733341539817,8.72752822192637,6.49010631615218,5.81840900624337,8.74357629475067,3.98572923757711,4.32001115214885,5.26194403998951,5.23566358502444,5.08967191234679,8.19668538597661,5.2362647028485,5.94487792680119,2.62566829324469,6.24488029982923,5.86262998601931,4.69215178885764
"13","FUS",5.1951215798859,4.99183120404345,6.97495606605861,4.29493770307888,5.07902526120612,10.5345027287971,5.01759969263495,4.7811795291725,5.40053789542642,5.15166672661382,4.87590974217076,12.9417263249341,5.26429052901458,5.09714906164429,1.7878202934515,5.63631932435335,5.54544659601206,2.81685016966314
"14","HARS1",4.28045432192894,4.61184467890742,4.05182506385477,9.34461353277335,-0.240935960655111,14.3996400425806,4.1892910118952,6.15266362822098,4.05182506385477,4.82505026444623,5.87577178005921,4.05182506385477,7.12225653407733,8.51300254301584,4.05182506385477,3.02875392770378,7.71003434359161,4.05182506385477
"15","SNRNP200",4.57027211412167,4.75577387115968,4.60218677606814,7.09351073824391,6.86880366711022,4.72197929268582,4.26235165862788,5.76723526928971,4.99597417498313,7.10125222537419,7.44243179022164,6.6809464811627,6.01222693798106,5.74363160204925,6.86137428160302,4.96159119908666,3.69275321240126,4.40764534789881
"16","SUPT16H",3.31190722871726,3.05280895888885,9.1248497621198,7.11029680964931,6.89281702655153,4.26573668483778,3.60575499300257,3.47383536655279,4.23469527213686,5.37783278130638,5.44856211168134,4.19249608993871,7.45141397323772,8.0970320191814,6.62843925014456,5.54372881639838,5.16801098518834,6.75792033031952
"17","EIF4G1",6.05799016010966,8.248413684688,4.1995871455679,2.80450745794624,4.67615920601107,6.7112603956563,7.76700925533645,6.15018693538416,6.80293493851884,7.22397156833272,5.36440025467261,4.1995871455679,4.83524023511803,2.89501753540948,6.61061993947274,5.02877481579409,6.63364175100256,4.1995871455679
"18","TUBB6",6.13718729870978,6.32547129162149,4.10515237866611,6.70250457960143,4.6210792308944,4.10515237866611,6.51792777591584,7.38116520016619,7.25236201837971,5.08302607783676,6.38034902586399,5.41030255490773,3.33859233243164,3.55456889046167,5.89772418281601,5.97497112102135,5.67394630982205,5.81433598820039
"19","TUBB2A",7.63677665961582,7.918535404927,4.46399055032044,6.59622869076458,3.57507964548846,5.74541571287597,7.62878031897942,7.17599811309058,4.46399055032044,5.13940745284196,6.46232940764792,4.46399055032044,3.4562163785461,2.75912301973965,9.14389794542091,3.12375016749721,5.99087745449614,4.46399055032044
"20","TUBB",5.67141225740218,4.13742925566408,3.00559615967602,4.42214823376241,3.28388787696213,8.43872105961363,5.17161505967475,5.02815031055326,10.0225207783585,6.39563124979668,4.79819210840914,5.64843844450905,4.00548265715841,4.32919929130848,4.08081487827659,6.27870355647947,9.94167198928736,5.40452303370857
