MosaicID,UniprotID,GeneSymbol,Description,Peptides,A_plus_1,A_plus_2,A_plus_3,A_minus_1,A_minus_2,A_minus_3,B_plus_1,B_plus_2,B_plus_3,B_minus_1,B_minus_2,B_minus_3,A_plus_1_48,A_plus_2_48,A_plus_3_48,A_minus_1_48,A_minus_2_48,A_minus_3_48
**NORMALIZATION_FACTORS**,NA,NA,NA,NA,1.204858595,1.069858311,499.3837001,1.635811773,1.25468666,142.3231858,1,1.471498838,255.6207541,1.779933855,1.492036123,260.462337,1.60126319,1.24918301,66.85331662,1.895157748,7.499424441,109.3591955
STIP1__P31948_2,P31948-2,STIP1,Isoform 2 of Stress-induced-phosphoprotein 1,2,7.30212,7.70674,0,7.64342,7.24925,0,7.65344,8.26852,0,5.78637,6.53014,0,6.60808,6.29813,9.04222,6.12397,7.10386,6.68373
LCP1__P13796,P13796,LCP1,Plastin-2,3,8.19178,9.12137,0,5.55552,5.70508,0,9.31025,9.0927,0,7.30843,7.06693,0,7.89848,7.25748,11.9959,6.28798,5.20806,0
PACSIN2__Q9UNF0,Q9UNF0,PACSIN2,Protein kinase C and casein kinase substrate in neurons protein 2,2,5.20227,6.56382,0,3.6382,4.68908,11.8076,5.22332,5.62423,5.19445,5.23911,4.88426,14.5095,3.88516,4.5603,0,5.24313,5.22206,8.51355
CSE1L__P55060,P55060,CSE1L,Exportin-2,5,7.3689,7.74404,0,5.59287,7.02294,1.22293,7.68982,6.91254,0,7.58297,7.19565,0,7.51826,7.12168,6.81378,6.64521,6.14206,7.42635
SIN3A__Q96ST3,Q96ST3,SIN3A,Paired amphipathic helix protein Sin3a,1,7.40325,9.04676,0,9.51723,11.1359,0,6.55568,8.3774,0,9.53028,10.0558,0,8.4518,7.39605,0,6.9445,5.58533,0
DHX9__Q08211,Q08211,DHX9,ATP-dependent RNA helicase A,18,5.38009,5.39109,0,7.03957,7.02801,4.70017,5.30752,5.80974,2.69374,6.6037,6.72907,1.44945,6.03829,6.33298,8.9583,6.02321,6.0925,8.42257
PRPF6__O94906,O94906,PRPF6,Pre-mRNA-processing factor 6,8,6.44203,6.33488,0,7.25532,8.10512,0,5.89174,6.06557,4.53274,7.81293,7.58709,5.21503,6.89991,7.12325,4.49923,7.14609,6.77735,2.31172
SRM__P19623,P19623,SRM,Spermidine synthase,1,7.91189,6.84526,0,13.8749,9.74455,0,7.5582,8.86252,0,12.3437,10.3867,0,5.4259,8.71441,0,8.32601,0.00599584,0
ARID1A__O14497,O14497,ARID1A,AT-rich interactive domain-containing protein 1A,5,7.33545,6.67124,0,9.69665,9.79547,2.86062,6.40744,6.7762,0,7.53616,7.63152,0,8.23815,8.85979,3.57607,7.68999,6.92525,0
RUVBL2__Q9Y230,Q9Y230,RUVBL2,RuvB-like 2,5,8.04994,8.22536,0,7.40778,7.89986,0,7.95412,7.93332,0,7.79259,7.97883,2.48943,7.33927,7.11035,6.39976,7.03322,6.38617,0
SMU1__Q2TAY7,Q2TAY7,SMU1,WD40 repeat-containing protein SMU1,1,5.91857,6.13888,3.82811,5.72703,5.17041,29.7327,7.24793,7.41564,0,4.7075,5.39991,0,6.45099,3.58239,0,3.09945,5.58051,0
TAF15__Q92804,Q92804,TAF15,TATA-binding protein-associated factor 2N,12,1.61851,1.58849,16.8852,2.39613,2.12752,16.9133,1.56289,1.64128,10.817,1.97876,1.89104,15.9557,1.97896,2.16856,6.20091,2.31454,2.14187,9.8193
FUS__P35637,P35637,FUS,RNA-binding protein FUS,5,0.694183,0.752852,15.6357,0.410693,0.780169,21.8576,0.638277,0.686857,12.8837,0.680498,0.716535,26.0653,0.715966,0.785847,6.56886,0.833127,0.926294,8.36755
HARS1__P12081,P12081,HARS1,"Histidine--tRNA ligase, cytoplasmic",1,6.5511,6.39729,0,8.31427,4.52675,17.9265,6.51936,6.99121,0,6.74071,6.88448,0,7.54052,7.90102,0,6.1153,7.59151,0
SNRNP200__O75643,O75643,SNRNP200,U5 small nuclear ribonucleoprotein 200 kDa helicase,17,6.92201,6.85518,0.331683,8.27139,8.28752,0.535923,6.75734,7.54081,1.00307,8.27553,8.67636,3.87586,7.69314,7.52481,4.18348,7.13128,6.1346,0
SUPT16H__Q9Y5B9,Q9Y5B9,SUPT16H,FACT complex subunit SPT16,7,4.06034,3.70165,12.5596,5.653,5.52823,4.16768,4.18355,3.90192,4.11407,4.92658,4.84124,4.04119,5.79603,6.10104,8.24818,4.99614,4.70779,8.4718
EIF4G1__Q04637_9,Q04637-9,EIF4G1,Isoform 9 of Eukaryotic translation initiation factor 4 gamma 1,6,7.46963,9.14207,0,5.3365,6.68441,4.24966,8.59014,7.69852,4.40477,8.2341,7.15791,0,6.66794,5.45901,4.07938,6.79483,8.03113,0
TUBB6__Q9BUF5,Q9BUF5,TUBB6,Tubulin beta-6 chain,12,7.43427,7.60862,0,7.71237,6.60172,0,7.62157,8.23229,5.39102,6.91569,7.64104,2.23566,6.05754,5.97166,3.07059,7.35447,7.22372,2.92775
TUBB2A__Q13885,Q13885,TUBB2A,Tubulin beta-2A chain,3,8.37156,8.86785,0,7.83283,6.53578,2.19645,8.36742,8.46917,0,7.07858,8.08599,0,6.20713,6.09768,8.02168,6.035,7.83286,0
